id,model,acc,sd,protocol
B1,csp_lda,0.5407407407407407,0.018294946718857005,random_5fold
B2,csp_lda,0.534074074074074,0.058368302275827885,LOSO
B3,csp_lda,0.00666666666666671,nan,gap
B1,tangent_space,0.6192592592592593,0.009486109981381979,random_5fold
B2,tangent_space,0.5562962962962963,0.08403082588084407,LOSO
B3,tangent_space,0.062962962962963,nan,gap
B4,linear_lr,0.6192592592592593,0.009486109981381979,random_5fold
B4,linear_lr,0.5562962962962963,0.08403082588084407,LOSO
B4,linear_lr,0.062962962962963,nan,gap
B4,rbf_svm,0.6037037037037037,0.019598157859737727,random_5fold
B4,rbf_svm,0.5896296296296296,0.11327279913253498,LOSO
B4,rbf_svm,0.014074074074074128,nan,gap
B4,knn_1,0.5155555555555555,0.04133572275052948,random_5fold
B4,knn_1,0.5051851851851852,0.055609850012217646,LOSO
B4,knn_1,0.010370370370370363,nan,gap
