id,pipeline,subject,acc,n,ci_lo,ci_hi,train_acc,n_train_subjects,sd,n_components
F1,csp_lda,1,0.4888888888888889,45,0.3370337483927935,0.6422596143299697,0.5478927203065134,,,
F1,csp_lda,2,0.5111111111111111,45,0.35774038567003036,0.6629662516072066,0.5448275862068965,,,
F1,csp_lda,3,0.5333333333333333,45,0.37872001608746436,0.6833991770025765,0.5494252873563218,,,
F1,csp_lda,4,0.6666666666666666,45,0.5104963621416386,0.799994311989305,0.5486590038314176,,,
F1,csp_lda,5,0.4444444444444444,45,0.2964439238658582,0.6000265035963211,0.5601532567049808,,,
F1,csp_lda,6,0.4444444444444444,45,0.2964439238658582,0.6000265035963211,0.5517241379310345,,,
F1,csp_lda,7,0.7111111111111111,45,0.5568547229147682,0.8363374395543188,0.5448275862068965,,,
F1,csp_lda,8,0.4888888888888889,45,0.3370337483927935,0.6422596143299697,0.5593869731800766,,,
F1,csp_lda,9,0.5333333333333333,45,0.37872001608746436,0.6833991770025765,0.5310344827586206,,,
F1,csp_lda,10,0.4888888888888889,45,0.3370337483927935,0.6422596143299697,0.5494252873563218,,,
F1,csp_lda,11,0.5111111111111111,45,0.35774038567003036,0.6629662516072066,0.5540229885057472,,,
F1,csp_lda,12,0.5333333333333333,45,0.37872001608746436,0.6833991770025765,0.5402298850574713,,,
F1,csp_lda,13,0.5111111111111111,45,0.35774038567003036,0.6629662516072066,0.5486590038314176,,,
F1,csp_lda,14,0.5777777777777777,45,0.42150328448812835,0.7234329717538803,0.5402298850574713,,,
F1,csp_lda,15,0.5333333333333333,45,0.37872001608746436,0.6833991770025765,0.5471264367816092,,,
F1,csp_lda,16,0.5777777777777777,45,0.42150328448812835,0.7234329717538803,0.5371647509578544,,,
F1,csp_lda,17,0.5111111111111111,45,0.35774038567003036,0.6629662516072066,0.5593869731800766,,,
F1,csp_lda,18,0.4888888888888889,45,0.3370337483927935,0.6422596143299697,0.5448275862068965,,,
F1,csp_lda,19,0.5777777777777777,45,0.42150328448812835,0.7234329717538803,0.539463601532567,,,
F1,csp_lda,20,0.4888888888888889,45,0.3370337483927935,0.6422596143299697,0.5540229885057472,,,
F1,csp_lda,21,0.5777777777777777,45,0.42150328448812835,0.7234329717538803,0.5532567049808429,,,
F1,csp_lda,22,0.5111111111111111,45,0.35774038567003036,0.6629662516072066,0.5471264367816092,,,
F1,csp_lda,23,0.5555555555555556,45,0.3999734964036788,0.7035560761341417,0.5517241379310345,,,
F1,csp_lda,24,0.4888888888888889,45,0.3370337483927935,0.6422596143299697,0.5432950191570881,,,
F1,csp_lda,25,0.4888888888888889,45,0.3370337483927935,0.6422596143299697,0.5440613026819924,,,
F1,csp_lda,26,0.5777777777777777,45,0.42150328448812835,0.7234329717538803,0.5517241379310345,,,
F1,csp_lda,27,0.4888888888888889,45,0.3370337483927935,0.6422596143299697,0.539463601532567,,,
F1,csp_lda,28,0.5333333333333333,45,0.37872001608746436,0.6833991770025765,0.5578544061302682,,,
F1,csp_lda,29,0.6222222222222222,45,0.4654101126463728,0.7623217552722018,0.5494252873563218,,,
F1,csp_lda,30,0.5555555555555556,45,0.3999734964036788,0.7035560761341417,0.550191570881226,,,
F1,tangent_space,1,0.6444444444444445,45,0.48780100514814595,0.7813159892644141,0.9977011494252873,,,
F1,tangent_space,2,0.5777777777777777,45,0.42150328448812835,0.7234329717538803,0.9977011494252873,,,
F1,tangent_space,3,0.5111111111111111,45,0.35774038567003036,0.6629662516072066,0.9977011494252873,,,
F1,tangent_space,4,0.5777777777777777,45,0.42150328448812835,0.7234329717538803,0.9969348659003832,,,
F1,tangent_space,5,0.4,45,0.25697589519263137,0.5566864875209978,0.9977011494252873,,,
F1,tangent_space,6,0.4666666666666667,45,0.3166008229974236,0.6212799839125356,0.9977011494252873,,,
F1,tangent_space,7,0.5555555555555556,45,0.3999734964036788,0.7035560761341417,0.9977011494252873,,,
F1,tangent_space,8,0.6444444444444445,45,0.48780100514814595,0.7813159892644141,0.9984674329501916,,,
F1,tangent_space,9,0.6,45,0.4433135124790022,0.7430241048073687,0.9984674329501916,,,
F1,tangent_space,10,0.5777777777777777,45,0.42150328448812835,0.7234329717538803,0.9984674329501916,,,
F1,tangent_space,11,0.4444444444444444,45,0.2964439238658582,0.6000265035963211,0.9992337164750957,,,
F1,tangent_space,12,0.4666666666666667,45,0.3166008229974236,0.6212799839125356,0.9977011494252873,,,
F1,tangent_space,13,0.6888888888888889,45,0.533508970087884,0.8183411960662779,0.9984674329501916,,,
F1,tangent_space,14,0.5111111111111111,45,0.35774038567003036,0.6629662516072066,0.9977011494252873,,,
F1,tangent_space,15,0.5777777777777777,45,0.42150328448812835,0.7234329717538803,0.9977011494252873,,,
F1,tangent_space,16,0.5111111111111111,45,0.35774038567003036,0.6629662516072066,0.9984674329501916,,,
F1,tangent_space,17,0.4,45,0.25697589519263137,0.5566864875209978,0.9984674329501916,,,
F1,tangent_space,18,0.4888888888888889,45,0.3370337483927935,0.6422596143299697,0.9977011494252873,,,
F1,tangent_space,19,0.6666666666666666,45,0.5104963621416386,0.799994311989305,0.9977011494252873,,,
F1,tangent_space,20,0.4666666666666667,45,0.3166008229974236,0.6212799839125356,0.9977011494252873,,,
F1,tangent_space,21,0.5777777777777777,45,0.42150328448812835,0.7234329717538803,0.9984674329501916,,,
F1,tangent_space,22,0.5777777777777777,45,0.42150328448812835,0.7234329717538803,0.9984674329501916,,,
F1,tangent_space,23,0.7333333333333333,45,0.5805532952579822,0.8539592841618702,0.9984674329501916,,,
F1,tangent_space,24,0.5111111111111111,45,0.35774038567003036,0.6629662516072066,0.9992337164750957,,,
F1,tangent_space,25,0.6,45,0.4433135124790022,0.7430241048073687,0.9984674329501916,,,
F1,tangent_space,26,0.6888888888888889,45,0.533508970087884,0.8183411960662779,0.9977011494252873,,,
F1,tangent_space,27,0.4888888888888889,45,0.3370337483927935,0.6422596143299697,0.9977011494252873,,,
F1,tangent_space,28,0.5333333333333333,45,0.37872001608746436,0.6833991770025765,0.9984674329501916,,,
F1,tangent_space,29,0.6444444444444445,45,0.48780100514814595,0.7813159892644141,0.9977011494252873,,,
F1,tangent_space,30,0.5555555555555556,45,0.3999734964036788,0.7035560761341417,0.9984674329501916,,,
F2,,,0.5288888888888887,,,,,3,0.05047918529600242,
F2,,,0.551111111111111,,,,,6,0.0812251861444314,
F2,,,0.5111111111111111,,,,,10,0.07302967433402216,
F2,,,0.5466666666666666,,,,,15,0.06827685109216541,
F2,,,0.5377777777777777,,,,,20,0.09977753031397177,
F2,,,0.5799999999999998,,,,,25,0.07978365809340553,
F2,,,0.6133333333333333,,,,,29,0.07710822921287766,
F3,,,0.5281481481481481,,,,,,0.07066604549769696,2
F3,,,0.534074074074074,,,,,,0.058368302275827885,4
F3,,,0.5414814814814816,,,,,,0.0777213198969851,6
F3,,,0.5407407407407407,,,,,,0.08281733249999222,8
