pipeline,subject,acc_no_ea,acc_ea,delta
csp_lda,1,0.4888888888888889,0.7333333333333333,0.2444444444444444
csp_lda,2,0.5111111111111111,0.8444444444444444,0.33333333333333337
csp_lda,3,0.5333333333333333,0.4222222222222222,-0.1111111111111111
csp_lda,4,0.6666666666666666,0.6888888888888889,0.022222222222222254
csp_lda,5,0.4444444444444444,0.35555555555555557,-0.08888888888888885
csp_lda,6,0.4444444444444444,0.37777777777777777,-0.06666666666666665
csp_lda,7,0.7111111111111111,0.8,0.0888888888888889
csp_lda,8,0.4888888888888889,0.6666666666666666,0.17777777777777776
csp_lda,9,0.5333333333333333,0.5111111111111111,-0.022222222222222254
csp_lda,10,0.4888888888888889,0.7111111111111111,0.22222222222222227
csp_lda,11,0.5111111111111111,0.4888888888888889,-0.0222222222222222
csp_lda,12,0.5333333333333333,0.7777777777777778,0.24444444444444446
csp_lda,13,0.5111111111111111,0.7777777777777778,0.2666666666666667
csp_lda,14,0.5777777777777777,0.6,0.022222222222222254
csp_lda,15,0.5333333333333333,0.9333333333333333,0.4
csp_lda,16,0.5777777777777777,0.6222222222222222,0.04444444444444451
csp_lda,17,0.5111111111111111,0.5777777777777777,0.06666666666666665
csp_lda,18,0.4888888888888889,0.4666666666666667,-0.0222222222222222
csp_lda,19,0.5777777777777777,0.7333333333333333,0.15555555555555556
csp_lda,20,0.4888888888888889,0.6,0.1111111111111111
csp_lda,21,0.5777777777777777,0.5777777777777777,0.0
csp_lda,22,0.5111111111111111,0.6222222222222222,0.11111111111111116
csp_lda,23,0.5555555555555556,0.7777777777777778,0.2222222222222222
csp_lda,24,0.4888888888888889,0.5333333333333333,0.04444444444444445
csp_lda,25,0.4888888888888889,0.6666666666666666,0.17777777777777776
csp_lda,26,0.5777777777777777,0.6666666666666666,0.0888888888888889
csp_lda,27,0.4888888888888889,0.5777777777777777,0.08888888888888885
csp_lda,28,0.5333333333333333,0.5111111111111111,-0.022222222222222254
csp_lda,29,0.6222222222222222,0.9555555555555556,0.33333333333333337
csp_lda,30,0.5555555555555556,0.6666666666666666,0.11111111111111105
tangent_space,1,0.6444444444444445,0.6444444444444445,0.0
tangent_space,2,0.5777777777777777,0.7777777777777778,0.20000000000000007
tangent_space,3,0.5111111111111111,0.5777777777777777,0.06666666666666665
tangent_space,4,0.5777777777777777,0.6444444444444445,0.06666666666666676
tangent_space,5,0.4,0.4666666666666667,0.06666666666666665
tangent_space,6,0.4666666666666667,0.4666666666666667,0.0
tangent_space,7,0.5555555555555556,0.9111111111111111,0.3555555555555555
tangent_space,8,0.6444444444444445,0.6222222222222222,-0.022222222222222254
tangent_space,9,0.6,0.5555555555555556,-0.0444444444444444
tangent_space,10,0.5777777777777777,0.5111111111111111,-0.06666666666666665
tangent_space,11,0.4444444444444444,0.4444444444444444,0.0
tangent_space,12,0.4666666666666667,0.6,0.1333333333333333
tangent_space,13,0.6888888888888889,0.7333333333333333,0.0444444444444444
tangent_space,14,0.5111111111111111,0.5333333333333333,0.022222222222222254
tangent_space,15,0.5777777777777777,0.7333333333333333,0.15555555555555556
tangent_space,16,0.5111111111111111,0.5555555555555556,0.04444444444444451
tangent_space,17,0.4,0.5333333333333333,0.1333333333333333
tangent_space,18,0.4888888888888889,0.5555555555555556,0.06666666666666671
tangent_space,19,0.6666666666666666,0.6222222222222222,-0.0444444444444444
tangent_space,20,0.4666666666666667,0.6666666666666666,0.19999999999999996
tangent_space,21,0.5777777777777777,0.5555555555555556,-0.022222222222222143
tangent_space,22,0.5777777777777777,0.5777777777777777,0.0
tangent_space,23,0.7333333333333333,0.7111111111111111,-0.022222222222222143
tangent_space,24,0.5111111111111111,0.5111111111111111,0.0
tangent_space,25,0.6,0.7111111111111111,0.11111111111111116
tangent_space,26,0.6888888888888889,0.6,-0.0888888888888889
tangent_space,27,0.4888888888888889,0.5333333333333333,0.04444444444444445
tangent_space,28,0.5333333333333333,0.5777777777777777,0.0444444444444444
tangent_space,29,0.6444444444444445,0.8888888888888888,0.24444444444444435
tangent_space,30,0.5555555555555556,0.6444444444444445,0.0888888888888889
