paradigm,features,alignment,acc,sd,chance,n_subjects
imagined,logvar,no_EA,0.9464344278848095,0.015810180102566445,0.009523809523809525,105
imagined,logvar,EA,0.026063249727371868,0.017368803133395713,0.009523809523809525,105
imagined,psd_rel,no_EA,0.8608845268387254,0.02304848260920625,0.009523809523809525,105
imagined,psd_rel,EA,0.9278044347509997,0.02437798464510211,0.009523809523809525,105
imagined,psd_abs,no_EA,0.9716289026212691,0.007903741033708816,0.009523809523809525,105
imagined,psd_abs,EA,0.7138014459388504,0.16560438017542364,0.009523809523809525,105
executed,logvar,no_EA,0.9401058201058201,0.014793635654858249,0.009523809523809525,105
executed,logvar,EA,0.03513227513227513,0.02490709480622184,0.009523809523809525,105
executed,psd_rel,no_EA,0.8279365079365079,0.03013477188163943,0.009523809523809525,105
executed,psd_rel,EA,0.9011640211640213,0.0228591024047359,0.009523809523809525,105
executed,psd_abs,no_EA,0.9735449735449736,0.00778191589877257,0.009523809523809525,105
executed,psd_abs,EA,0.6865608465608467,0.14563030474834457,0.009523809523809525,105
