perm,acc
0,0.502962962962963
1,0.4948148148148148
2,0.4955555555555556
3,0.49777777777777776
4,0.5155555555555555
5,0.5007407407407407
6,0.49777777777777776
7,0.5066666666666666
8,0.508888888888889
9,0.4851851851851852
10,0.4985185185185185
11,0.5140740740740741
12,0.485925925925926
13,0.5111111111111111
14,0.5088888888888888
15,0.5037037037037037
16,0.5044444444444445
17,0.48000000000000004
18,0.4940740740740741
19,0.5051851851851852
20,0.5051851851851852
21,0.5066666666666666
22,0.4851851851851851
23,0.5118518518518519
24,0.47185185185185186
25,0.5059259259259259
26,0.4985185185185185
27,0.48814814814814816
28,0.48888888888888893
29,0.5148148148148148
30,0.49407407407407405
31,0.4896296296296297
32,0.5007407407407407
33,0.5311111111111111
34,0.5088888888888888
35,0.5
36,0.5044444444444445
37,0.49703703703703705
38,0.482962962962963
39,0.4851851851851852
40,0.4911111111111111
41,0.5014814814814815
42,0.5192592592592592
43,0.5088888888888888
44,0.48518518518518516
45,0.5088888888888888
46,0.49777777777777776
47,0.5155555555555555
48,0.502962962962963
49,0.4985185185185185
50,0.4822222222222222
51,0.49703703703703705
52,0.5259259259259259
53,0.4918518518518519
54,0.5022222222222222
55,0.49925925925925924
56,0.5066666666666666
57,0.5148148148148147
58,0.47703703703703704
59,0.5
60,0.49925925925925924
61,0.5192592592592592
62,0.5088888888888888
63,0.48666666666666664
64,0.49703703703703705
65,0.5007407407407407
66,0.4985185185185185
67,0.4985185185185185
68,0.5059259259259259
69,0.4948148148148148
70,0.5111111111111111
71,0.5148148148148147
72,0.5081481481481481
73,0.4837037037037037
74,0.47777777777777775
75,0.508888888888889
76,0.49925925925925924
77,0.49629629629629624
78,0.49111111111111116
79,0.5222222222222223
80,0.48592592592592593
81,0.5088888888888888
82,0.49851851851851847
83,0.5303703703703704
84,0.47259259259259256
85,0.4903703703703704
86,0.5192592592592592
87,0.5007407407407407
88,0.5014814814814815
89,0.4940740740740741
90,0.4785185185185185
91,0.5081481481481481
92,0.5088888888888888
93,0.4918518518518518
94,0.5274074074074073
95,0.49259259259259264
96,0.49481481481481476
97,0.5066666666666666
98,0.5081481481481481
99,0.4777777777777778
100,0.4903703703703704
101,0.5111111111111111
102,0.5096296296296295
103,0.5051851851851852
104,0.5
105,0.49777777777777776
106,0.5074074074074074
107,0.522962962962963
108,0.5066666666666666
109,0.482962962962963
110,0.502962962962963
111,0.4985185185185185
112,0.5199999999999999
113,0.48814814814814816
114,0.5192592592592592
115,0.4918518518518519
116,0.49925925925925924
117,0.5037037037037037
118,0.4955555555555556
119,0.4955555555555556
120,0.49777777777777776
121,0.5118518518518518
122,0.5096296296296295
123,0.4896296296296297
124,0.5059259259259259
125,0.48074074074074075
126,0.5066666666666666
127,0.5103703703703704
128,0.5022222222222222
129,0.4896296296296297
130,0.4918518518518518
131,0.5044444444444445
132,0.4985185185185185
133,0.5037037037037037
134,0.5066666666666666
135,0.4911111111111111
136,0.5125925925925926
137,0.5088888888888888
138,0.5066666666666666
139,0.49333333333333335
140,0.4703703703703704
141,0.49333333333333335
142,0.4866666666666666
143,0.4837037037037037
144,0.5148148148148148
145,0.5007407407407407
146,0.5096296296296297
147,0.4851851851851852
148,0.5155555555555555
149,0.4785185185185186
150,0.49925925925925924
151,0.5237037037037037
152,0.49111111111111116
153,0.4948148148148148
154,0.5096296296296295
155,0.5051851851851852
156,0.49777777777777776
157,0.48370370370370375
158,0.5162962962962963
159,0.5022222222222221
160,0.4955555555555556
161,0.5192592592592592
162,0.4814814814814815
163,0.49259259259259264
164,0.4955555555555556
165,0.4837037037037037
166,0.5177777777777777
167,0.5066666666666666
168,0.4948148148148148
169,0.4903703703703704
170,0.5192592592592592
171,0.522962962962963
172,0.4896296296296297
173,0.4955555555555556
174,0.4962962962962963
175,0.497037037037037
176,0.4903703703703704
177,0.5125925925925926
178,0.5096296296296295
179,0.5214814814814815
180,0.4948148148148148
181,0.48074074074074075
182,0.4911111111111111
183,0.5118518518518518
184,0.5162962962962963
185,0.4859259259259259
186,0.5022222222222222
187,0.4911111111111111
188,0.5096296296296295
189,0.5
190,0.5162962962962963
191,0.49703703703703705
192,0.49259259259259264
193,0.4962962962962963
194,0.5007407407407407
195,0.4896296296296297
196,0.5051851851851852
197,0.5014814814814815
198,0.5148148148148148
199,0.5133333333333333
observed,0.5562962962962963
