id,pipeline,acc,sd,min,max,ci_cross_chance,n_subjects
E4 imagined->imagined  +EA,csp_lda,0.6414814814814814,0.1469283113270215,0.35555555555555557,0.9555555555555556,15,30
E4 executed->imagined  +EA,csp_lda,0.6407407407407407,0.1435680917967755,0.37777777777777777,0.9777777777777777,16,30
E4 imagined->executed  +EA,csp_lda,0.6844444444444446,0.14129326243041615,0.4444444444444444,0.9555555555555556,13,30
E4 pooled  ->imagined  +EA,csp_lda,0.6562962962962964,0.1516692669247546,0.35555555555555557,1.0,15,30
