id,paradigm,band,acc,sd
C3,imagined,8-30,0.5562962962962963,0.08403082588084407
C3,imagined,30-70,0.5259259259259259,0.05300309279999501
C3,executed,8-30,0.6251851851851852,0.09833734385348794
C3,executed,30-70,0.5585185185185186,0.07692299250813138
