pipeline,subject,acc,n,ci_lo,ci_hi
csp_lda,1,0.7111111111111111,45,0.5568547229147682,0.8363374395543188
csp_lda,2,0.9333333333333333,45,0.8173155434217731,0.9860349029556295
csp_lda,3,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
csp_lda,4,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
csp_lda,5,0.4,45,0.25697589519263137,0.5566864875209978
csp_lda,6,0.37777777777777777,45,0.23767824472779814,0.5345898873536272
csp_lda,7,0.9777777777777777,45,0.8822956685817058,0.9994375402845977
csp_lda,8,0.4222222222222222,45,0.27656702824611973,0.5784967155118717
csp_lda,9,0.35555555555555557,45,0.21868401073558577,0.5121989948518539
csp_lda,10,0.4222222222222222,45,0.27656702824611973,0.5784967155118717
csp_lda,11,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
csp_lda,12,0.4222222222222222,45,0.27656702824611973,0.5784967155118717
csp_lda,13,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
csp_lda,14,0.6,45,0.4433135124790022,0.7430241048073687
csp_lda,15,0.7111111111111111,45,0.5568547229147682,0.8363374395543188
csp_lda,16,0.6,45,0.4433135124790022,0.7430241048073687
csp_lda,17,0.28888888888888886,45,0.16366256044568112,0.4431452770852318
csp_lda,18,0.4666666666666667,45,0.3166008229974236,0.6212799839125356
csp_lda,19,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
csp_lda,20,0.4666666666666667,45,0.3166008229974236,0.6212799839125356
csp_lda,21,0.26666666666666666,45,0.14604071583812986,0.4194467047420177
csp_lda,22,0.6444444444444445,45,0.48780100514814595,0.7813159892644141
csp_lda,23,0.6,45,0.4433135124790022,0.7430241048073687
csp_lda,24,0.4444444444444444,45,0.2964439238658582,0.6000265035963211
csp_lda,25,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
csp_lda,26,0.6888888888888889,45,0.533508970087884,0.8183411960662779
csp_lda,27,0.6,45,0.4433135124790022,0.7430241048073687
csp_lda,28,0.3333333333333333,45,0.20000568801069493,0.48950363785836143
csp_lda,29,1.0,45,0.9212948995931569,1.0
csp_lda,30,0.4444444444444444,45,0.2964439238658582,0.6000265035963211
tangent_space,1,0.7555555555555555,45,0.6046290712401733,0.871177185396492
tangent_space,2,0.8444444444444444,45,0.7054483989019467,0.9350907879916224
tangent_space,3,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
tangent_space,4,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
tangent_space,5,0.3111111111111111,45,0.1816588039337222,0.4664910299121159
tangent_space,6,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
tangent_space,7,0.9777777777777777,45,0.8822956685817058,0.9994375402845977
tangent_space,8,0.4666666666666667,45,0.3166008229974236,0.6212799839125356
tangent_space,9,0.4444444444444444,45,0.2964439238658582,0.6000265035963211
tangent_space,10,0.4666666666666667,45,0.3166008229974236,0.6212799839125356
tangent_space,11,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
tangent_space,12,0.7333333333333333,45,0.5805532952579822,0.8539592841618702
tangent_space,13,0.6666666666666666,45,0.5104963621416386,0.799994311989305
tangent_space,14,0.6666666666666666,45,0.5104963621416386,0.799994311989305
tangent_space,15,0.7111111111111111,45,0.5568547229147682,0.8363374395543188
tangent_space,16,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
tangent_space,17,0.37777777777777777,45,0.23767824472779814,0.5345898873536272
tangent_space,18,0.3333333333333333,45,0.20000568801069493,0.48950363785836143
tangent_space,19,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
tangent_space,20,0.6,45,0.4433135124790022,0.7430241048073687
tangent_space,21,0.26666666666666666,45,0.14604071583812986,0.4194467047420177
tangent_space,22,0.7111111111111111,45,0.5568547229147682,0.8363374395543188
tangent_space,23,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
tangent_space,24,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
tangent_space,25,0.4222222222222222,45,0.27656702824611973,0.5784967155118717
tangent_space,26,0.7555555555555555,45,0.6046290712401733,0.871177185396492
tangent_space,27,0.4666666666666667,45,0.3166008229974236,0.6212799839125356
tangent_space,28,0.28888888888888886,45,0.16366256044568112,0.4431452770852318
tangent_space,29,0.9777777777777777,45,0.8822956685817058,0.9994375402845977
tangent_space,30,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
