features,alignment,acc,sd,chance,n_subjects
logvar,no_EA,0.96,0.020447664802729304,0.03333333333333333,30
logvar,EA,0.008888888888888889,0.009601097330974608,0.03333333333333333,30
psd_rel,no_EA,0.9348148148148149,0.016858972854431144,0.03333333333333333,30
psd_rel,EA,0.9837037037037036,0.01180546477815497,0.03333333333333333,30
psd_abs,no_EA,0.9955555555555556,0.003628873693012094,0.03333333333333333,30
psd_abs,EA,0.7903703703703703,0.13295419345887152,0.03333333333333333,30
