subject,test_alignment,acc,n,ci_lo,ci_hi
1,per_run,0.7555555555555555,45,0.6046290712401733,0.871177185396492
1,per_subject,0.7333333333333333,45,0.5805532952579822,0.8539592841618702
1,none,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
2,per_run,0.9111111111111111,45,0.7877882630456604,0.9752470422165309
2,per_subject,0.8444444444444444,45,0.7054483989019467,0.9350907879916224
2,none,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
3,per_run,0.4,45,0.25697589519263137,0.5566864875209978
3,per_subject,0.4222222222222222,45,0.27656702824611973,0.5784967155118717
3,none,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
4,per_run,0.7111111111111111,45,0.5568547229147682,0.8363374395543188
4,per_subject,0.6888888888888889,45,0.533508970087884,0.8183411960662779
4,none,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
5,per_run,0.37777777777777777,45,0.23767824472779814,0.5345898873536272
5,per_subject,0.35555555555555557,45,0.21868401073558577,0.5121989948518539
5,none,0.4666666666666667,45,0.3166008229974236,0.6212799839125356
6,per_run,0.4222222222222222,45,0.27656702824611973,0.5784967155118717
6,per_subject,0.37777777777777777,45,0.23767824472779814,0.5345898873536272
6,none,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
7,per_run,0.8666666666666667,45,0.7320750459065521,0.9494576240866738
7,per_subject,0.8,45,0.6540417022050522,0.9042427303088574
7,none,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
8,per_run,0.6444444444444445,45,0.48780100514814595,0.7813159892644141
8,per_subject,0.6666666666666666,45,0.5104963621416386,0.799994311989305
8,none,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
9,per_run,0.4444444444444444,45,0.2964439238658582,0.6000265035963211
9,per_subject,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
9,none,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
10,per_run,0.7333333333333333,45,0.5805532952579822,0.8539592841618702
10,per_subject,0.7111111111111111,45,0.5568547229147682,0.8363374395543188
10,none,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
11,per_run,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
11,per_subject,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
11,none,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
12,per_run,0.8,45,0.6540417022050522,0.9042427303088574
12,per_subject,0.7777777777777778,45,0.629112447400512,0.887954061122865
12,none,0.6444444444444445,45,0.48780100514814595,0.7813159892644141
13,per_run,0.7777777777777778,45,0.629112447400512,0.887954061122865
13,per_subject,0.7777777777777778,45,0.629112447400512,0.887954061122865
13,none,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
14,per_run,0.6,45,0.4433135124790022,0.7430241048073687
14,per_subject,0.6,45,0.4433135124790022,0.7430241048073687
14,none,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
15,per_run,0.9333333333333333,45,0.8173155434217731,0.9860349029556295
15,per_subject,0.9333333333333333,45,0.8173155434217731,0.9860349029556295
15,none,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
16,per_run,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
16,per_subject,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
16,none,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
17,per_run,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
17,per_subject,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
17,none,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
18,per_run,0.4444444444444444,45,0.2964439238658582,0.6000265035963211
18,per_subject,0.4666666666666667,45,0.3166008229974236,0.6212799839125356
18,none,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
19,per_run,0.6888888888888889,45,0.533508970087884,0.8183411960662779
19,per_subject,0.7333333333333333,45,0.5805532952579822,0.8539592841618702
19,none,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
20,per_run,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
20,per_subject,0.6,45,0.4433135124790022,0.7430241048073687
20,none,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
21,per_run,0.6,45,0.4433135124790022,0.7430241048073687
21,per_subject,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
21,none,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
22,per_run,0.6666666666666666,45,0.5104963621416386,0.799994311989305
22,per_subject,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
22,none,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
23,per_run,0.7777777777777778,45,0.629112447400512,0.887954061122865
23,per_subject,0.7777777777777778,45,0.629112447400512,0.887954061122865
23,none,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
24,per_run,0.7777777777777778,45,0.629112447400512,0.887954061122865
24,per_subject,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
24,none,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
25,per_run,0.7111111111111111,45,0.5568547229147682,0.8363374395543188
25,per_subject,0.6666666666666666,45,0.5104963621416386,0.799994311989305
25,none,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
26,per_run,0.8222222222222222,45,0.6794657566066298,0.9199820425426939
26,per_subject,0.6666666666666666,45,0.5104963621416386,0.799994311989305
26,none,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
27,per_run,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
27,per_subject,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
27,none,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
28,per_run,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
28,per_subject,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
28,none,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
29,per_run,1.0,45,0.9212948995931569,1.0
29,per_subject,0.9555555555555556,45,0.8485070997566608,0.9945715112997491
29,none,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
30,per_run,0.6888888888888889,45,0.533508970087884,0.8183411960662779
30,per_subject,0.6666666666666666,45,0.5104963621416386,0.799994311989305
30,none,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
