id,subject,acc,n,ci_lo,ci_hi
E1_exec_to_imag,1,0.6444444444444445,45,0.48780100514814595,0.7813159892644141
E1_exec_to_imag,2,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
E1_exec_to_imag,3,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
E1_exec_to_imag,4,0.6888888888888889,45,0.533508970087884,0.8183411960662779
E1_exec_to_imag,5,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
E1_exec_to_imag,6,0.4444444444444444,45,0.2964439238658582,0.6000265035963211
E1_exec_to_imag,7,0.8222222222222222,45,0.6794657566066298,0.9199820425426939
E1_exec_to_imag,8,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
E1_exec_to_imag,9,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
E1_exec_to_imag,10,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
E1_exec_to_imag,11,0.37777777777777777,45,0.23767824472779814,0.5345898873536272
E1_exec_to_imag,12,0.6,45,0.4433135124790022,0.7430241048073687
E1_exec_to_imag,13,0.6888888888888889,45,0.533508970087884,0.8183411960662779
E1_exec_to_imag,14,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
E1_exec_to_imag,15,0.6666666666666666,45,0.5104963621416386,0.799994311989305
E1_exec_to_imag,16,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
E1_exec_to_imag,17,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
E1_exec_to_imag,18,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
E1_exec_to_imag,19,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
E1_exec_to_imag,20,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
E1_exec_to_imag,21,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
E1_exec_to_imag,22,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
E1_exec_to_imag,23,0.7777777777777778,45,0.629112447400512,0.887954061122865
E1_exec_to_imag,24,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
E1_exec_to_imag,25,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
E1_exec_to_imag,26,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
E1_exec_to_imag,27,0.4,45,0.25697589519263137,0.5566864875209978
E1_exec_to_imag,28,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
E1_exec_to_imag,29,0.8444444444444444,45,0.7054483989019467,0.9350907879916224
E1_exec_to_imag,30,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
E2_imag_to_exec,1,0.6444444444444445,45,0.48780100514814595,0.7813159892644141
E2_imag_to_exec,2,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
E2_imag_to_exec,3,0.4666666666666667,45,0.3166008229974236,0.6212799839125356
E2_imag_to_exec,4,0.7555555555555555,45,0.6046290712401733,0.871177185396492
E2_imag_to_exec,5,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
E2_imag_to_exec,6,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
E2_imag_to_exec,7,0.6444444444444445,45,0.48780100514814595,0.7813159892644141
E2_imag_to_exec,8,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
E2_imag_to_exec,9,0.6,45,0.4433135124790022,0.7430241048073687
E2_imag_to_exec,10,0.6,45,0.4433135124790022,0.7430241048073687
E2_imag_to_exec,11,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
E2_imag_to_exec,12,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
E2_imag_to_exec,13,0.7111111111111111,45,0.5568547229147682,0.8363374395543188
E2_imag_to_exec,14,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
E2_imag_to_exec,15,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
E2_imag_to_exec,16,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
E2_imag_to_exec,17,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
E2_imag_to_exec,18,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
E2_imag_to_exec,19,0.6888888888888889,45,0.533508970087884,0.8183411960662779
E2_imag_to_exec,20,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
E2_imag_to_exec,21,0.7111111111111111,45,0.5568547229147682,0.8363374395543188
E2_imag_to_exec,22,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
E2_imag_to_exec,23,0.6444444444444445,45,0.48780100514814595,0.7813159892644141
E2_imag_to_exec,24,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
E2_imag_to_exec,25,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
E2_imag_to_exec,26,0.8222222222222222,45,0.6794657566066298,0.9199820425426939
E2_imag_to_exec,27,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
E2_imag_to_exec,28,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
E2_imag_to_exec,29,0.6666666666666666,45,0.5104963621416386,0.799994311989305
E2_imag_to_exec,30,0.4222222222222222,45,0.27656702824611973,0.5784967155118717
E3_pooled_to_imag,1,0.7333333333333333,45,0.5805532952579822,0.8539592841618702
E3_pooled_to_imag,2,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
E3_pooled_to_imag,3,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
E3_pooled_to_imag,4,0.6666666666666666,45,0.5104963621416386,0.799994311989305
E3_pooled_to_imag,5,0.4222222222222222,45,0.27656702824611973,0.5784967155118717
E3_pooled_to_imag,6,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
E3_pooled_to_imag,7,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
E3_pooled_to_imag,8,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
E3_pooled_to_imag,9,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
E3_pooled_to_imag,10,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
E3_pooled_to_imag,11,0.37777777777777777,45,0.23767824472779814,0.5345898873536272
E3_pooled_to_imag,12,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
E3_pooled_to_imag,13,0.7777777777777778,45,0.629112447400512,0.887954061122865
E3_pooled_to_imag,14,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
E3_pooled_to_imag,15,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
E3_pooled_to_imag,16,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
E3_pooled_to_imag,17,0.4666666666666667,45,0.3166008229974236,0.6212799839125356
E3_pooled_to_imag,18,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
E3_pooled_to_imag,19,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
E3_pooled_to_imag,20,0.4666666666666667,45,0.3166008229974236,0.6212799839125356
E3_pooled_to_imag,21,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
E3_pooled_to_imag,22,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
E3_pooled_to_imag,23,0.6666666666666666,45,0.5104963621416386,0.799994311989305
E3_pooled_to_imag,24,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
E3_pooled_to_imag,25,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
E3_pooled_to_imag,26,0.6444444444444445,45,0.48780100514814595,0.7813159892644141
E3_pooled_to_imag,27,0.4444444444444444,45,0.2964439238658582,0.6000265035963211
E3_pooled_to_imag,28,0.4444444444444444,45,0.2964439238658582,0.6000265035963211
E3_pooled_to_imag,29,0.7333333333333333,45,0.5805532952579822,0.8539592841618702
