subject,test_alignment,acc,n,ci_lo,ci_hi
16,per_subject,0.6444444444444445,45,0.48780100514814595,0.7813159892644141
16,none,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
17,per_run,0.6888888888888889,45,0.533508970087884,0.8183411960662779
17,per_subject,0.6,45,0.4433135124790022,0.7430241048073687
17,none,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
18,per_run,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
18,per_subject,0.4666666666666667,45,0.3166008229974236,0.6212799839125356
18,none,0.4666666666666667,45,0.3166008229974236,0.6212799839125356
19,per_run,0.7333333333333333,45,0.5805532952579822,0.8539592841618702
19,per_subject,0.7555555555555555,45,0.6046290712401733,0.871177185396492
19,none,0.7333333333333333,45,0.5805532952579822,0.8539592841618702
20,per_run,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
20,per_subject,0.6,45,0.4433135124790022,0.7430241048073687
20,none,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
21,per_run,0.6,45,0.4433135124790022,0.7430241048073687
21,per_subject,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
21,none,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
22,per_run,0.6,45,0.4433135124790022,0.7430241048073687
22,per_subject,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
22,none,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
23,per_run,0.7777777777777778,45,0.629112447400512,0.887954061122865
23,per_subject,0.7555555555555555,45,0.6046290712401733,0.871177185396492
23,none,0.6666666666666666,45,0.5104963621416386,0.799994311989305
24,per_run,0.7555555555555555,45,0.6046290712401733,0.871177185396492
24,per_subject,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
24,none,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
25,per_run,0.7555555555555555,45,0.6046290712401733,0.871177185396492
25,per_subject,0.7555555555555555,45,0.6046290712401733,0.871177185396492
25,none,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
26,per_run,0.8222222222222222,45,0.6794657566066298,0.9199820425426939
26,per_subject,0.6444444444444445,45,0.48780100514814595,0.7813159892644141
26,none,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
27,per_run,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
27,per_subject,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
27,none,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
28,per_run,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
28,per_subject,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
28,none,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
29,per_run,0.9777777777777777,45,0.8822956685817058,0.9994375402845977
29,per_subject,0.9777777777777777,45,0.8822956685817058,0.9994375402845977
29,none,0.6888888888888889,45,0.533508970087884,0.8183411960662779
30,per_run,0.7111111111111111,45,0.5568547229147682,0.8363374395543188
30,per_subject,0.7111111111111111,45,0.5568547229147682,0.8363374395543188
30,none,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
31,per_run,0.9111111111111111,45,0.7877882630456604,0.9752470422165309
31,per_subject,0.9111111111111111,45,0.7877882630456604,0.9752470422165309
31,none,0.8,45,0.6540417022050522,0.9042427303088574
32,per_run,0.9555555555555556,45,0.8485070997566608,0.9945715112997491
32,per_subject,0.9555555555555556,45,0.8485070997566608,0.9945715112997491
32,none,0.7777777777777778,45,0.629112447400512,0.887954061122865
33,per_run,0.8,45,0.6540417022050522,0.9042427303088574
33,per_subject,0.7777777777777778,45,0.629112447400512,0.887954061122865
33,none,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
34,per_run,0.9777777777777777,45,0.8822956685817058,0.9994375402845977
34,per_subject,0.9333333333333333,45,0.8173155434217731,0.9860349029556295
34,none,0.7777777777777778,45,0.629112447400512,0.887954061122865
35,per_run,0.7777777777777778,45,0.629112447400512,0.887954061122865
35,per_subject,0.7333333333333333,45,0.5805532952579822,0.8539592841618702
35,none,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
36,per_run,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
36,per_subject,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
36,none,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
37,per_run,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
37,per_subject,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
37,none,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
38,per_run,0.6,45,0.4433135124790022,0.7430241048073687
38,per_subject,0.6,45,0.4433135124790022,0.7430241048073687
38,none,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
39,per_run,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
39,per_subject,0.6,45,0.4433135124790022,0.7430241048073687
39,none,0.4666666666666667,45,0.3166008229974236,0.6212799839125356
40,per_run,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
40,per_subject,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
40,none,0.4666666666666667,45,0.3166008229974236,0.6212799839125356
41,per_run,0.7777777777777778,45,0.629112447400512,0.887954061122865
41,per_subject,0.7555555555555555,45,0.6046290712401733,0.871177185396492
41,none,0.6444444444444445,45,0.48780100514814595,0.7813159892644141
42,per_run,0.9111111111111111,45,0.7877882630456604,0.9752470422165309
42,per_subject,0.9111111111111111,45,0.7877882630456604,0.9752470422165309
42,none,0.7111111111111111,45,0.5568547229147682,0.8363374395543188
43,per_run,0.8888888888888888,45,0.7594641915044859,0.9629233386928087
43,per_subject,0.8666666666666667,45,0.7320750459065521,0.9494576240866738
43,none,0.6666666666666666,45,0.5104963621416386,0.799994311989305
44,per_run,0.7555555555555555,45,0.6046290712401733,0.871177185396492
44,per_subject,0.6666666666666666,45,0.5104963621416386,0.799994311989305
44,none,0.7333333333333333,45,0.5805532952579822,0.8539592841618702
45,per_run,0.7777777777777778,45,0.629112447400512,0.887954061122865
45,per_subject,0.7555555555555555,45,0.6046290712401733,0.871177185396492
45,none,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
46,per_run,0.7777777777777778,45,0.629112447400512,0.887954061122865
46,per_subject,0.7333333333333333,45,0.5805532952579822,0.8539592841618702
46,none,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
