perm,acc
0,0.5117100928421683
1,0.5070230607966456
2,0.5024109014675052
3,0.5019766397124887
4,0.49092542677448336
5,0.5140760706798442
6,0.5028900868523509
7,0.5030697813716682
8,0.4933812518718179
9,0.4963162623539981
10,0.49654088050314465
11,0.5126235399820305
12,0.5065438754117999
13,0.5100029949086553
14,0.5038334830787661
15,0.5016471997604073
16,0.5006888289907158
17,0.49824797843665763
18,0.5040880503144654
19,0.49565738244983526
20,0.5068433662773286
21,0.5061844863731656
22,0.49794848757112903
23,0.49923629829290206
24,0.49067085953878414
25,0.5087151841868823
26,0.49610661874812817
27,0.49233303384246785
28,0.4994309673554957
29,0.5000449236298292
30,0.5017819706498952
31,0.5079215333932315
32,0.48812518718179093
33,0.5021862833183588
34,0.4990116801437556
35,0.5036238394728961
36,0.49050613956274325
37,0.4984426474992512
38,0.4876909254267745
39,0.4877657981431566
40,0.5018268942797244
41,0.5036987121892782
42,0.5114255765199162
43,0.5065738244983528
44,0.5048817011081163
45,0.48580413297394437
46,0.48054806828391733
47,0.49973045822102424
48,0.49985025456723564
49,0.4981581311769991
50,0.49926624737945496
51,0.49020664869721475
52,0.5143006888289907
53,0.49994010182689436
54,0.5076370170709793
55,0.48984725965858034
56,0.500104821802935
57,0.5087002096436058
58,0.5034890685834081
59,0.501811919736448
60,0.49778376759508836
61,0.49137466307277633
62,0.511455525606469
63,0.5070829589697514
64,0.5058999700509135
65,0.504073075771189
66,0.4902515723270441
67,0.5094938604372566
68,0.5110661874812819
69,0.49547768793051805
70,0.4975890985324947
71,0.4983228511530398
72,0.4955226115603474
73,0.5035190176699611
74,0.5076519916142558
75,0.4921383647798742
76,0.5019466906259359
77,0.48896376160527105
78,0.5057951482479783
79,0.49928122192273133
80,0.49642108415693315
81,0.4883498053309374
82,0.507247678945792
83,0.5091494459418987
84,0.508146151542378
85,0.4877508235998802
86,0.50717280622941
87,0.5044025157232704
88,0.48481581311769995
89,0.4965259059598682
90,0.5022162324049116
91,0.5093141659179395
92,0.49210841569332137
93,0.5132973944294699
94,0.4997005091344714
95,0.5034740940401318
96,0.5053459119496855
97,0.5079065588499551
98,0.505989817310572
99,0.4948936807427373
100,0.4860587002096436
101,0.49508834980533095
102,0.5057951482479784
103,0.5117550164719976
104,0.5099880203653788
105,0.4958820005989818
106,0.5038933812518718
107,0.508984725965858
108,0.5028451632225217
109,0.4773734651093141
110,0.5103324348607368
111,0.48935309973045815
112,0.5069182389937106
113,0.4990416292303085
114,0.48397723869421994
115,0.5011380652890087
116,0.49526804432464805
117,0.5074423480083857
118,0.4992213237496256
119,0.4939802336028751
120,0.497843665768194
121,0.5048817011081163
122,0.49360587002096434
123,0.49678047319556745
124,0.4915393830488171
125,0.5010931416591794
126,0.5083108715184187
127,0.5085055405810123
128,0.48941299790356396
129,0.49109014675052415
130,0.4948787061994609
131,0.5087451332734352
132,0.4977687930518119
133,0.48939802336028754
134,0.5038334830787661
135,0.4977987421383648
136,0.5061844863731656
137,0.5000748727163821
138,0.4852500748727164
139,0.4976190476190475
140,0.4904162923030847
141,0.5013776579814316
142,0.4934411500449236
143,0.49651093141659175
144,0.4995357891584307
145,0.5070530098831985
146,0.49887690925426775
147,0.5074573225516622
148,0.4969302186283318
149,0.5045372866127582
150,0.5082659478885894
151,0.4921533393231507
152,0.5017669961066187
153,0.49743935309973036
154,0.5050763701707098
155,0.5107816711590296
156,0.4847409404013177
157,0.5000748727163822
158,0.5190326445043426
159,0.49336627732854155
160,0.5072327044025157
161,0.4950134770889488
162,0.5053459119496856
163,0.5060796645702306
164,0.4965558550464211
165,0.5107517220724768
166,0.5083857442348009
167,0.5030398322851153
168,0.48827493261455523
169,0.5005390835579515
170,0.49505840071877805
171,0.5127133872416891
172,0.5064390536088649
173,0.5066786463012878
174,0.5007487271638215
175,0.5031296795447738
176,0.4910452231206948
177,0.4996555855046421
178,0.49360587002096434
179,0.49529799341120095
180,0.5110212638514524
181,0.4912997903563941
182,0.5110362383947289
183,0.5176849356094638
184,0.5107367475292003
185,0.5036687631027253
186,0.49254267744833774
187,0.5062144354597184
188,0.4983827493261456
189,0.5047169811320754
190,0.5036687631027255
191,0.48962264150943396
192,0.5074123989218328
193,0.49699011680143756
194,0.5026504941599281
195,0.49439952081461513
196,0.4950584007187781
197,0.5024408505540581
198,0.5055256064690027
199,0.49589697514225817
observed,0.593141659179395
