check,condition,n_ch,acc,sd
channels,all_64,64,0.6875411799940101,0.14819032279641564
channels,motor_only,9,0.6665618448637317,0.14921563136107802
channels,non_motor_only,11,0.567654986522911,0.08213566335536227
band,imagined_8-30Hz,64,0.6875411799940101,0.14819032279641564
band,imagined_30-70Hz,64,0.567026055705301,0.07644159817692793
band,executed_8-30Hz,64,0.7134897597161747,0.1373720028969302
band,executed_30-70Hz,64,0.5547653604257378,0.07247440849645545
